Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Código SNIES del programa;Programa Académico;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Matriculados
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;6;CINE Y TELEVISION;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;2;BELLAS ARTES;24;ATES PLASTICAS VISUALES Y AFINES;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;1;71
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;6;CINE Y TELEVISION;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;2;BELLAS ARTES;24;ATES PLASTICAS VISUALES Y AFINES;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;2;73
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;6;CINE Y TELEVISION;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;2;BELLAS ARTES;24;ATES PLASTICAS VISUALES Y AFINES;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;1;189
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;6;CINE Y TELEVISION;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;2;BELLAS ARTES;24;ATES PLASTICAS VISUALES Y AFINES;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;2;193
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;7;ENFERMERIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;441;ENFERMERIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;1;433
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;7;ENFERMERIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;441;ENFERMERIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;2;460
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;7;ENFERMERIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;441;ENFERMERIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;1;185
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;7;ENFERMERIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;441;ENFERMERIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;2;209
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;8;FISIOTERAPIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;442;TERAPIAS;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;1;140
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;8;FISIOTERAPIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;442;TERAPIAS;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;2;150
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;8;FISIOTERAPIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;442;TERAPIAS;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;1;61
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;8;FISIOTERAPIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;442;TERAPIAS;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;2;83
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;9;MEDICINA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;445;MEDICINA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;1;516
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;9;MEDICINA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;445;MEDICINA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;2;533
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;9;MEDICINA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;445;MEDICINA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;1;900
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;9;MEDICINA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;445;MEDICINA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;2;888
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;10;NUTRICION Y DIETETICA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;446;NUTRICION Y DIETETICA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;1;284
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;10;NUTRICION Y DIETETICA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;446;NUTRICION Y DIETETICA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;2;296
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;10;NUTRICION Y DIETETICA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;446;NUTRICION Y DIETETICA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;1;79
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;10;NUTRICION Y DIETETICA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;446;NUTRICION Y DIETETICA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;2;87
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;11;ODONTOLOGIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;447;ODONTOLOGIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;1;343
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;11;ODONTOLOGIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;447;ODONTOLOGIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;2;334
