Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Código SNIES del programa;Programa Académico;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Matriculados;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1874;DESARROLLO FAMILIAR;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);5;CIENCIAS SOCIALES Y HUMANAS;569;SOCIOLOGIA TRABAJO SOCIAL Y AFINES;;;;;;;5;ANTIOQUIA;5045;APARTADO;1;MASCULINO;2015;1;3;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1874;DESARROLLO FAMILIAR;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);5;CIENCIAS SOCIALES Y HUMANAS;569;SOCIOLOGIA TRABAJO SOCIAL Y AFINES;;;;;;;5;ANTIOQUIA;5045;APARTADO;1;MASCULINO;2015;2;3;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5001;MEDELLIN;2;FEMENINO;2015;1;437;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5001;MEDELLIN;2;FEMENINO;2015;2;417;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5001;MEDELLIN;1;MASCULINO;2015;1;226;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5001;MEDELLIN;1;MASCULINO;2015;2;211;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5045;APARTADO;2;FEMENINO;2015;1;86;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5045;APARTADO;2;FEMENINO;2015;2;100;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5045;APARTADO;1;MASCULINO;2015;1;72;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5045;APARTADO;1;MASCULINO;2015;2;80;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2015;1;1;
