Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;IES Acreditada;Código SNIES del programa;Programa Académico;Programa Acreditado;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Graduados
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;6;CINE Y TELEVISION;Si;1;Pregrado;6;Universitario;1;Presencial;2;Bellas artes;24;Artes plásticas, visuales y afines;2;Arte y Humanidades;21;Artes;211;Técnicas audiovisuales y producción para medios de comunicación;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;2;13
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;6;CINE Y TELEVISION;Si;1;Pregrado;6;Universitario;1;Presencial;2;Bellas artes;24;Artes plásticas, visuales y afines;2;Arte y Humanidades;21;Artes;211;Técnicas audiovisuales y producción para medios de comunicación;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;1;8
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;6;CINE Y TELEVISION;Si;1;Pregrado;6;Universitario;1;Presencial;2;Bellas artes;24;Artes plásticas, visuales y afines;2;Arte y Humanidades;21;Artes;211;Técnicas audiovisuales y producción para medios de comunicación;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;2;9
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;7;ENFERMERIA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;441;Enfermería;9;Salud y Bienestar;91;Salud;913;Enfermería y partería;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;1;25
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;7;ENFERMERIA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;441;Enfermería;9;Salud y Bienestar;91;Salud;913;Enfermería y partería;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;2;22
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;7;ENFERMERIA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;441;Enfermería;9;Salud y Bienestar;91;Salud;913;Enfermería y partería;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;1;43
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;7;ENFERMERIA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;441;Enfermería;9;Salud y Bienestar;91;Salud;913;Enfermería y partería;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;2;37
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;8;FISIOTERAPIA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;1;4
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;8;FISIOTERAPIA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;2;23
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;8;FISIOTERAPIA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;2;28
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;9;MEDICINA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;445;Medicina;9;Salud y Bienestar;91;Salud;912;Medicina;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;1;76
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;9;MEDICINA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;445;Medicina;9;Salud y Bienestar;91;Salud;912;Medicina;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;2;61
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;9;MEDICINA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;445;Medicina;9;Salud y Bienestar;91;Salud;912;Medicina;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;1;48
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;9;MEDICINA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;445;Medicina;9;Salud y Bienestar;91;Salud;912;Medicina;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;2;50
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;10;NUTRICION Y DIETETICA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;446;Nutrición y dietética;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;1;11
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;10;NUTRICION Y DIETETICA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;446;Nutrición y dietética;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;2;11
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;10;NUTRICION Y DIETETICA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;446;Nutrición y dietética;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;1;20
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;10;NUTRICION Y DIETETICA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;446;Nutrición y dietética;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;2;21
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;11;ODONTOLOGIA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;447;Odontología;9;Salud y Bienestar;91;Salud;911;Odontología y estudios dentales;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;1;20
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;11;ODONTOLOGIA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;447;Odontología;9;Salud y Bienestar;91;Salud;911;Odontología y estudios dentales;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;2;13
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;11;ODONTOLOGIA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;447;Odontología;9;Salud y Bienestar;91;Salud;911;Odontología y estudios dentales;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;1;27
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;11;ODONTOLOGIA;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;447;Odontología;9;Salud y Bienestar;91;Salud;911;Odontología y estudios dentales;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;2;19
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;12;TERAPIA OCUPACIONAL;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;1;6
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;12;TERAPIA OCUPACIONAL;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;2;6
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;12;TERAPIA OCUPACIONAL;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;1;10
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;12;TERAPIA OCUPACIONAL;Si;1;Pregrado;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;2;6
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;13;ANTROPOLOGIA;Si;1;Pregrado;6;Universitario;1;Presencial;5;Ciencias sociales y humanas;553;Antropología y  artes liberales;2;Arte y Humanidades;22;Humanidades (Excepto idiomas);222;Historia y arqueología;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;1;17
