Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Código SNIES del programa;Programa Académico;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Graduados
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;6;CINE Y TELEVISION;1;PREGRADO;6;Universitario;1;Presencial;2;Bellas artes;24;Artes plásticas, visuales y afines;2;Arte y Humanidades;21;Artes;211;Técnicas audiovisuales y producción para medios de comunicación;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;2;11
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;6;CINE Y TELEVISION;1;PREGRADO;6;Universitario;1;Presencial;2;Bellas artes;24;Artes plásticas, visuales y afines;2;Arte y Humanidades;21;Artes;211;Técnicas audiovisuales y producción para medios de comunicación;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;1;11
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;6;CINE Y TELEVISION;1;PREGRADO;6;Universitario;1;Presencial;2;Bellas artes;24;Artes plásticas, visuales y afines;2;Arte y Humanidades;21;Artes;211;Técnicas audiovisuales y producción para medios de comunicación;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;2;6
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;7;ENFERMERIA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;441;Enfermería;9;Salud y Bienestar;91;Salud;913;Enfermería y partería;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;1;16
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;7;ENFERMERIA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;441;Enfermería;9;Salud y Bienestar;91;Salud;913;Enfermería y partería;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;2;14
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;7;ENFERMERIA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;441;Enfermería;9;Salud y Bienestar;91;Salud;913;Enfermería y partería;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;1;30
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;7;ENFERMERIA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;441;Enfermería;9;Salud y Bienestar;91;Salud;913;Enfermería y partería;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;2;20
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;8;FISIOTERAPIA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;1;4
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;8;FISIOTERAPIA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;1;3
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;8;FISIOTERAPIA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;2;4
